60,망고 바나나 블렌디드,6300
60,자바 칩 프라푸치노,6300
56,멸치국밥,6500
64,<대표> 썸머라떼 (24년 version),6500
65,토마토바질주스,6500
65,파인애플주스,6500
70,커피쇼콜라라떼,6500
72,<대표> 서리테,6500
72,콜드브루,6500
73,<대표> 밀크티,6500
73,<라떼아인슈페너> 진하고 꼬숩한 라떼위에 달달한 생크림,6500
73,<라임모히또에이드> 수제과일청과 애플민트가 들어간 탄산음료,6500
95,<대표> 아인슈페너,6500
95,멜팅바스크,6500
95,크림모카,6500
70,쇼콜라라떼,6800
83,페페로니조각피자,6900
11,스트로베리 세이크,7000
11,오레오 세이크,7000
14,만둣국,7000
23,후식 물냉면,7000
26,새우볶음밥,7000
26,짜장면,7000
39,메밀 배추전,7000
39,우도땅콩막걸리,7000
42,캘리포니아롤,7000
44,김치볶음밥,7000
48,[평일 점심] 얼큰 김치찌개 세트,7000
48,[평일 점심] 우렁이 된장찌개 세트,7000
55,물냉(점심메뉴),7000
55,비냉(점심메뉴),7000
55,짜글이김치찌개+계란밥,7000
56,<대표> 비빔국수,7000
56,간장비빔국수,7000
56,얼큰국수,7000
63,콩국수,7000
65,사과케일,7000
68,찰순대,7000
72,브루잉커피,7000
73,<대표> 크럼블,7000
73,후르츠티펀치,7000
84,육개장,7000
92,<대표> 동파육덮밥,7000
92,볶음밥,7000
92,볶음짜장면,7000
92,우육탕면,7000
92,중화비빔밥,7000
95,<대표> 스트로베리필드,7000
95,<브루잉> 핸드드립커피,7000
95,티,7000
96,계란말이,7000
96,김치전,7000
96,두부김치,7000
70,딸기 / 복숭아 라떼,7200
12,우동,7500
2,맘모스빵,7500
54,<반반메뉴> 12알부터 모든메뉴 반반 가능합니다~,7500
56,숙주국수,7500
56,어묵국수,7500
56,유부국수,7500
57,냉모밀,7500
65,<대표> 딸기요거트,7500
71,만두,7500
73,<그린티바나나> 아이스크림 두스쿱과 견과류 과일토핑,7500
73,<런던치즈케이크> 상큼한 사워크림이 올라간 썸머치즈케이크,7500
73,<빅토리아케이크> 영국 빅토리아여왕이 즐겨먹었다던 스펀지케이크,7500
83,불고기조각피자,7500
94,아이스크림 카페라떼,7500
49,2인분)떡오뎅+사리2,7800
72,<대표> 항아리 티라미수,7800
31,"<대표> 바이젠복,앰버복",7900
33,묵은지냄비김치찌개,7900
33,제육볶음,7900
69,초등학생,7900
70,아포가또,7900
83,핫불고기조각피자,7900
14,고추장떡볶이 1인분 사리1개,8000
25,매운새우돈육말이,8000
25,새우부추딤섬,8000
25,새우쇼마이,8000
25,새우수정딤섬,8000
25,소고기치즈쇼마이,8000
37,<대표> 너티 몽블랑,8000
37,<대표> 카라멜 마리아주,8000
42,새우초밥(10P),8000
42,회덮밥,8000
43,육회비빔면,8000
52,<무삥 4ea> 돼지고기 꼬치구이,8000
53,콩나물 해장국,8000
55,"<가리비관자> 입안에서 터지는 바다의 감칠맛, 가리비관자",8000
55,된장찌개&계란밥(점심메뉴),8000
55,벌집껍데기,8000
56,고기멸치국수,8000
56,냉국수,8000
61,<대표> 돈코츠 라멘,8000
61,지로스타일,8000
63,만두국,8000
63,장칼국수,8000
65,<대표> 라임모히토,8000
75,토종순대?,8000
8,계란찜,8000
87,<대표> 튀김만두,8000
87,고기만두,8000
87,김치만두,8000
87,반반만두,8000
57,맛있게 매운돈까스,8500
57,봉이돈까스,8500
57,양념돈까스,8500
57,치킨까스,8500
61,<매운돈코츠라멘> 돈코츠 라멘의 매운 버전입니다.,8500
61,<신지로스타일> 지로 스타일의 매운 버전입니다.,8500
68,머리고기,8500
59,무끄럽텃(삼겹살튀김),8900
69,중.고생,8900
12,로스카츠,9000
16,<대표> 새싹쟁반국수(소 (2인)),9000
18,<대표> 타마고산도,9000
26,마라탕면,9000
26,마파두부덮밥,9000
26,매운짜장면,9000
26,잡채밥,9000
26,짬뽕,9000
30,<대표> 고기국수-보통,9000
30,고기국밥-보통,9000
30,몸국-보통,9000
30,비빔국수,9000
44,가지볶음밥,9000
46,<대표> 사생활 하이볼1,9000
48,[평일 점심] 야들 제육볶음밥 세트,9000
56,콩국수(계절),9000
61,<대표> 시오라멘(유자선택),9000
61,쇼유라멘,9000
61,중화소바,9000
63,바지락칼국수,9000
63,육개장,9000
71,만두얼큰칼국수,9000
71,만두칼국수,9000
74,순대국,9000
86,<대표> 순대국,9000
87,마파두부밥,9000
87,"만두국, 떡 만두국",9000
87,새우볶음밥,9000
87,잡채밥,9000
87,짬뽕밥,9000
96,닭곰탕,9000
96,순대국,9000
49,2인분)떡오뎅+사리3,9300
27,생삼겹살 100g,9400
27,우삼겹 100g,9400
1,요츠야텐동,9500
11,9온스 주니어 버거,9500
12,냉모밀,9500
57,봉이돈까스모밀 or 우동세트,9500
57,생선까스,9500
57,양념돈까스모밀 or 우동세트,9500
68,순대국,9500
75,<대표> 수육국밥?,9500
75,<대표> 순대국밥?,9500
75,순두부국밥?,9500
75,직화물냉면?,9500
75,직화비빔냉면?,9500
37,<대표> 크로플 베이직,9900
37,더치베이비 플레인,9900
69,성인,9900
10,짜장면,10000
11,그릴드 어니언 치즈 버거,10000
15,짜장면,10000
22,고르곤졸라피자,10000
26,건두부무침,10000
26,마라볶음면,10000
32,Carne Asada Taco,10000
32,Carnitas Taco,10000
32,Chicken Taco,10000
32,Chorizo Taco,10000
4,순대국,10000
47,<대표> 감자채전,10000
5,쿠바샌드위치 오리지널,10000
5,쿠바샌드위치 페퍼로니,10000
53,돌솥비빔밥(여름메뉴),10000
57,100%매운치즈돈까스,10000
57,100%양념치즈돈까스,10000
57,100%치즈돈까스,10000
57,"<봉이모듬> 돈,생선,치킨",10000
61,<대표> 마제소바,10000
71,얼큰바지락칼국수,10000
71,칼국수,10000
72,아이스크림모나카 2pcsset,10000
74,병천순대국,10000
74,뼈해장국,10000
74,살고기순대국,10000
74,특순대국,10000
75,<대표> 얼큰국밥?,10000
8,바지락번데기탕,10000
8,조개탕,10000
8,해물순두부,10000
86,<대표> 얼큰내장순대국,10000
86,뼈해장국,10000
86,시래기순대국,10000
87,얼큰만두국,10000
91,1인세트/김밥2줄+오뎅,10000
92,토마토계란볶음,10000
96,닭고기,10000
12,로스카츠반우동,10500
59,까파오덮밥(바질덮밥),10500
